                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                0.84976,                0.57072,                 1.0891,                      0,                      0,                      0,                      0,                      0,                  169.5,                      0,              0.0015941,              0.0015941,              0.0015941
                     43,                0.79418,                0.53815,                 1.0806,                      0,                      0,                      0,                      0,                      0,                 178.98,                      0,              0.0015842,              0.0015842,              0.0015842
                     44,                0.86576,                0.52116,                 1.0987,                      0,                      0,                      0,                      0,                      0,                 217.79,                      0,              0.0015743,              0.0015743,              0.0015743
                     45,                0.70334,                 0.4921,                 1.0182,                      0,                      0,                      0,                      0,                      0,                 247.88,                      0,              0.0015644,              0.0015644,              0.0015644
                     46,                0.84492,                0.54066,                 1.0727,                      0,                      0,                      0,                      0,                      0,                 210.79,                      0,              0.0015545,              0.0015545,              0.0015545
                     47,                0.75141,                0.50601,                 1.0259,                      0,                      0,                      0,                      0,                      0,                 223.17,                      0,              0.0015446,              0.0015446,              0.0015446
                     48,                0.76017,                0.51768,                 1.0637,                      0,                      0,                      0,                      0,                      0,                 221.62,                      0,              0.0015347,              0.0015347,              0.0015347
                     49,                0.73467,                0.52989,                0.99514,                      0,                      0,                      0,                      0,                      0,                 234.71,                      0,              0.0015248,              0.0015248,              0.0015248
                     50,                0.75436,                0.52819,                 1.0458,                      0,                      0,                      0,                      0,                      0,                 172.83,                      0,              0.0015149,              0.0015149,              0.0015149
                     51,                0.72085,                0.50289,                 1.0165,                      0,                      0,                      0,                      0,                      0,                 167.98,                      0,               0.001505,               0.001505,               0.001505
                     52,                0.73832,                0.48445,                 1.0468,                      0,                      0,                      0,                      0,                      0,                 217.38,                      0,              0.0014951,              0.0014951,              0.0014951
                     53,                0.75494,                0.53103,                 1.0443,                      0,                      0,                      0,                      0,                      0,                 231.29,                      0,              0.0014852,              0.0014852,              0.0014852
                     54,                0.83732,                0.51697,                 1.0717,                      0,                      0,                      0,                      0,                      0,                 185.79,                      0,              0.0014753,              0.0014753,              0.0014753
                     55,                0.74528,                0.46699,                 1.0117,                      0,                      0,                      0,                      0,                      0,                 206.21,                      0,              0.0014654,              0.0014654,              0.0014654
                     56,                0.78571,                0.48397,                 1.0266,                      0,                      0,                      0,                      0,                      0,                 222.79,                      0,              0.0014555,              0.0014555,              0.0014555
                     57,                0.77733,                0.53282,                 1.0397,                      0,                      0,                      0,                      0,                      0,                 215.17,                      0,              0.0014456,              0.0014456,              0.0014456
                     58,                0.77379,                0.51076,                 1.0307,                      0,                      0,                      0,                      0,                      0,                 166.25,                      0,              0.0014357,              0.0014357,              0.0014357
                     59,                0.84945,                0.53259,                 1.0721,                      0,                      0,                      0,                      0,                      0,                 163.31,                      0,              0.0014258,              0.0014258,              0.0014258
                     60,                0.75353,                0.47989,                 1.0092,                      0,                      0,                      0,                      0,                      0,                 211.46,                      0,              0.0014159,              0.0014159,              0.0014159
