                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     42,                 1.0174,                0.68824,                0.99944,                      0,                      0,                      0,                      0,                      0,                 93.594,                      0,              0.0011882,              0.0011882,              0.0011882
                     43,                0.97713,                0.67071,                 1.0406,                      0,                      0,                      0,                      0,                      0,                 132.59,                      0,              0.0011684,              0.0011684,              0.0011684
                     44,                0.98403,                0.68056,                 1.0165,                      0,                      0,                      0,                      0,                      0,                 121.38,                      0,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.0362,                0.66947,                 1.0212,                      0,                      0,                      0,                      0,                      0,                 121.38,                      0,              0.0011288,              0.0011288,              0.0011288
                     46,                  1.011,                0.66984,                0.99226,                      0,                      0,                      0,                      0,                      0,                 117.59,                      0,               0.001109,               0.001109,               0.001109
                     47,                0.85719,                0.61914,                0.93302,                      0,                      0,                      0,                      0,                      0,                 88.969,                      0,              0.0010892,              0.0010892,              0.0010892
                     48,                0.92623,                0.61383,                 0.9506,                      0,                      0,                      0,                      0,                      0,                 94.469,                      0,              0.0010694,              0.0010694,              0.0010694
                     49,                 0.9347,                0.65802,                0.95461,                      0,                      0,                      0,                      0,                      0,                 94.469,                      0,              0.0010496,              0.0010496,              0.0010496
                     50,                0.92018,                0.64301,                0.98546,                      0,                      0,                      0,                      0,                      0,                 106.39,                      0,              0.0010298,              0.0010298,              0.0010298
                     51,                0.91202,                0.63072,                 0.9637,                      0,                      0,                      0,                      0,                      0,                 135.84,                      0,                0.00101,                0.00101,                0.00101
                     52,                0.96142,                0.64794,                0.95447,                      0,                      0,                      0,                      0,                      0,                 138.56,                      0,              0.0009902,              0.0009902,              0.0009902
                     53,                0.82853,                0.58722,                0.97205,                      0,                      0,                      0,                      0,                      0,                 138.56,                      0,              0.0009704,              0.0009704,              0.0009704
                     54,                 0.8968,                0.60988,                0.97921,                      0,                      0,                      0,                      0,                      0,                 117.16,                      0,              0.0009506,              0.0009506,              0.0009506
                     55,                0.92889,                 0.6462,                0.99449,                      0,                      0,                      0,                      0,                      0,                 105.47,                      0,              0.0009308,              0.0009308,              0.0009308
                     56,                0.88192,                0.64687,                0.98163,                      0,                      0,                      0,                      0,                      0,                 131.56,                      0,               0.000911,               0.000911,               0.000911
                     57,                0.97216,                0.59767,                0.95052,                      0,                      0,                      0,                      0,                      0,                 131.56,                      0,              0.0008912,              0.0008912,              0.0008912
                     58,                 0.8162,                0.55335,                0.92859,                      0,                      0,                      0,                      0,                      0,                 158.44,                      0,              0.0008714,              0.0008714,              0.0008714
                     59,                0.85989,                0.58538,                0.94036,                      0,                      0,                      0,                      0,                      0,                 138.12,                      0,              0.0008516,              0.0008516,              0.0008516
                     60,                0.89643,                0.60907,                0.94361,                      0,                      0,                      0,                      0,                      0,                 116.53,                      0,              0.0008318,              0.0008318,              0.0008318
                     61,                0.79219,                0.54784,                0.90727,                      0,                      0,                      0,                      0,                      0,                 116.53,                      0,               0.000812,               0.000812,               0.000812
                     62,                0.80704,                0.56213,                0.92466,                      0,                      0,                      0,                      0,                      0,                 108.28,                      0,              0.0007922,              0.0007922,              0.0007922
                     63,                0.73139,                0.54116,                0.92408,                      0,                      0,                      0,                      0,                      0,                 122.69,                      0,              0.0007724,              0.0007724,              0.0007724
                     64,                0.78901,                0.50861,                0.92038,                      0,                      0,                      0,                      0,                      0,                 147.69,                      0,              0.0007526,              0.0007526,              0.0007526
                     65,                0.82587,                0.59437,                0.90035,                      0,                      0,                      0,                      0,                      0,                 147.69,                      0,              0.0007328,              0.0007328,              0.0007328
                     66,                0.83227,                0.54963,                0.94844,                      0,                      0,                      0,                      0,                      0,                 144.72,                      0,               0.000713,               0.000713,               0.000713
                     67,                0.92515,                0.61214,                 1.0078,                      0,                      0,                      0,                      0,                      0,                 134.97,                      0,              0.0006932,              0.0006932,              0.0006932
                     68,                0.75012,                0.51057,                 0.9111,                      0,                      0,                      0,                      0,                      0,                 125.94,                      0,              0.0006734,              0.0006734,              0.0006734
